"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","unfolded protein binding","GO:0051082","7.655635753965677e-12","11.116018737954038","81","296","16","20618","LOC_OS01G67054,LOC_OS03G02260,LOC_OS03G57340,LOC_OS04G01740,LOC_OS04G32950,LOC_OS05G06440,LOC_OS05G45750,LOC_OS05G48810,LOC_OS06G02620,LOC_OS06G50300,LOC_OS07G14270,LOC_OS08G38086,LOC_OS08G39140,LOC_OS09G29840,LOC_OS09G30412,LOC_OS12G32986"
"GO:MF","ATPase regulator activity","GO:0060590","0.00006160563400796157","4.2103795685712715","11","296","5","20618","LOC_OS02G04650,LOC_OS02G39870,LOC_OS06G49030,LOC_OS08G25090,LOC_OS09G11250"
"GO:MF","chaperone binding","GO:0051087","0.0005490677486934659","3.2603740652613293","16","296","5","20618","LOC_OS02G04650,LOC_OS02G39870,LOC_OS06G49030,LOC_OS08G25090,LOC_OS09G11250"
"GO:MF","adenyl-nucleotide exchange factor activity","GO:0000774","0.0028137992854274083","2.5507068849894847","4","296","3","20618","LOC_OS02G39870,LOC_OS08G25090,LOC_OS09G11250"
"GO:MF","heat shock protein binding","GO:0031072","0.026375430572138554","1.5788004418903645","18","296","4","20618","LOC_OS02G04650,LOC_OS03G57340,LOC_OS06G02620,LOC_OS06G49030"
"GO:BP","protein folding","GO:0006457","6.030019772743667e-25","24.219681263783666","136","259","32","15157","LOC_OS01G67054,LOC_OS02G01280,LOC_OS02G02410,LOC_OS02G39870,LOC_OS03G02260,LOC_OS03G04970,LOC_OS03G31300,LOC_OS03G57340,LOC_OS03G64210,LOC_OS04G01740,LOC_OS04G32950,LOC_OS05G06440,LOC_OS05G45750,LOC_OS05G46290,LOC_OS05G48810,LOC_OS06G02620,LOC_OS06G14240,LOC_OS06G50300,LOC_OS07G14270,LOC_OS07G44740,LOC_OS08G25090,LOC_OS08G38086,LOC_OS08G39140,LOC_OS09G11250,LOC_OS09G26730,LOC_OS09G29840,LOC_OS09G30412,LOC_OS10G32550,LOC_OS10G41710,LOC_OS11G09280,LOC_OS12G17910,LOC_OS12G32986"
"GO:BP","response to heat","GO:0009408","1.1406138019123726e-16","15.94286137757108","52","259","18","15157","LOC_OS01G04340,LOC_OS01G04360,LOC_OS01G04380,LOC_OS02G02400,LOC_OS02G52150,LOC_OS02G54140,LOC_OS03G11910,LOC_OS03G14180,LOC_OS03G15960,LOC_OS03G16030,LOC_OS03G16040,LOC_OS03G31300,LOC_OS03G57340,LOC_OS04G36750,LOC_OS05G44340,LOC_OS06G02620,LOC_OS06G14240,LOC_OS06G46900"
"GO:BP","response to temperature stimulus","GO:0009266","4.404848732098951e-12","11.356069001200337","117","259","20","15157","LOC_OS01G04340,LOC_OS01G04360,LOC_OS01G04380,LOC_OS02G02400,LOC_OS02G52150,LOC_OS02G54140,LOC_OS03G11910,LOC_OS03G14180,LOC_OS03G15960,LOC_OS03G16030,LOC_OS03G16040,LOC_OS03G31300,LOC_OS03G57340,LOC_OS04G36750,LOC_OS05G44340,LOC_OS06G02620,LOC_OS06G04070,LOC_OS06G14240,LOC_OS06G46900,LOC_OS07G08840"
"GO:BP","protein refolding","GO:0042026","1.5206948634932287e-7","6.817957920986846","12","259","7","15157","LOC_OS02G01280,LOC_OS03G04970,LOC_OS03G31300,LOC_OS03G64210,LOC_OS05G46290,LOC_OS10G32550,LOC_OS12G17910"
"GO:BP","response to abiotic stimulus","GO:0009628","0.000006469856386278499","5.189105359414607","416","259","26","15157","LOC_OS01G04340,LOC_OS01G04360,LOC_OS01G04380,LOC_OS01G10680,LOC_OS01G64960,LOC_OS02G02400,LOC_OS02G44870,LOC_OS02G52150,LOC_OS02G54140,LOC_OS03G11910,LOC_OS03G14180,LOC_OS03G15890,LOC_OS03G15960,LOC_OS03G16030,LOC_OS03G16040,LOC_OS03G31300,LOC_OS03G57340,LOC_OS04G36750,LOC_OS05G44340,LOC_OS06G02620,LOC_OS06G04070,LOC_OS06G14240,LOC_OS06G46900,LOC_OS07G08840,LOC_OS10G39410,LOC_OS10G42190"
"GO:BP","response to cadmium ion","GO:0046686","0.00008635489717314725","4.063713028623819","37","259","8","15157","LOC_OS02G01030,LOC_OS03G07570,LOC_OS03G16030,LOC_OS03G16040,LOC_OS04G58710,LOC_OS05G46290,LOC_OS09G39380,LOC_OS10G41820"
"GO:BP","response to inorganic substance","GO:0010035","0.0006496494572646167","3.18732092003612","169","259","14","15157","LOC_OS02G01030,LOC_OS02G02400,LOC_OS02G44870,LOC_OS02G54140,LOC_OS03G07570,LOC_OS03G11910,LOC_OS03G16030,LOC_OS03G16040,LOC_OS04G58710,LOC_OS05G46290,LOC_OS09G26730,LOC_OS09G39380,LOC_OS10G39410,LOC_OS10G41820"
"GO:BP","response to hydrogen peroxide","GO:0042542","0.001925996166473979","2.7153445816356037","15","259","5","15157","LOC_OS02G02400,LOC_OS02G54140,LOC_OS03G11910,LOC_OS03G16030,LOC_OS03G16040"
"GO:BP","response to reactive oxygen species","GO:0000302","0.0028258195858071725","2.5488555690938175","41","259","7","15157","LOC_OS02G02400,LOC_OS02G54140,LOC_OS03G11910,LOC_OS03G16030,LOC_OS03G16040,LOC_OS06G14240,LOC_OS09G26730"
"GO:BP","response to metal ion","GO:0010038","0.00358493972195034","2.445518142267989","59","259","8","15157","LOC_OS02G01030,LOC_OS03G07570,LOC_OS03G16030,LOC_OS03G16040,LOC_OS04G58710,LOC_OS05G46290,LOC_OS09G39380,LOC_OS10G41820"
"GO:CC","cytoplasm","GO:0005737","1.2004789766036733e-13","12.920645441125457","2650","192","90","12533","LOC_OS01G04200,LOC_OS01G16350,LOC_OS01G34080,LOC_OS01G37690,LOC_OS01G38510,LOC_OS01G50010,LOC_OS01G51410,LOC_OS01G52260,LOC_OS01G64960,LOC_OS01G66000,LOC_OS01G67054,LOC_OS01G67330,LOC_OS01G74190,LOC_OS01G74580,LOC_OS02G01030,LOC_OS02G01280,LOC_OS02G02400,LOC_OS02G02410,LOC_OS02G10310,LOC_OS02G39160,LOC_OS02G39870,LOC_OS02G48350,LOC_OS02G51020,LOC_OS02G52270,LOC_OS02G53320,LOC_OS02G56920,LOC_OS03G04970,LOC_OS03G07570,LOC_OS03G08010,LOC_OS03G13750,LOC_OS03G16874,LOC_OS03G21490,LOC_OS03G31300,LOC_OS03G38970,LOC_OS03G50130,LOC_OS03G51920,LOC_OS03G56810,LOC_OS03G61960,LOC_OS03G64210,LOC_OS04G32650,LOC_OS04G32950,LOC_OS04G35790,LOC_OS04G36750,LOC_OS04G41910,LOC_OS04G58710,LOC_OS05G02010,LOC_OS05G09550,LOC_OS05G28200,LOC_OS05G34770,LOC_OS05G35330,LOC_OS05G38710,LOC_OS05G46290,LOC_OS05G47550,LOC_OS06G02000,LOC_OS06G02620,LOC_OS06G14240,LOC_OS06G36560,LOC_OS06G40940,LOC_OS07G08840,LOC_OS07G08970,LOC_OS07G14270,LOC_OS07G44740,LOC_OS07G48160,LOC_OS08G01180,LOC_OS08G03290,LOC_OS08G25090,LOC_OS08G29710,LOC_OS08G39140,LOC_OS09G11250,LOC_OS09G19952,LOC_OS09G26730,LOC_OS09G33780,LOC_OS09G38370,LOC_OS09G38620,LOC_OS09G39380,LOC_OS09G39680,LOC_OS10G28360,LOC_OS10G32550,LOC_OS10G39410,LOC_OS10G41710,LOC_OS10G41820,LOC_OS11G09280,LOC_OS11G24560,LOC_OS11G29200,LOC_OS11G37980,LOC_OS12G02910,LOC_OS12G15470,LOC_OS12G17910,LOC_OS12G32986,LOC_OS12G39860"
"GO:CC","endoplasmic reticulum","GO:0005783","6.955990857473062e-7","6.1576409974789295","218","192","18","12533","LOC_OS01G38510,LOC_OS01G67054,LOC_OS01G74580,LOC_OS02G02410,LOC_OS02G48350,LOC_OS02G56920,LOC_OS03G13750,LOC_OS03G50130,LOC_OS04G32950,LOC_OS04G36750,LOC_OS05G09550,LOC_OS07G14270,LOC_OS08G01180,LOC_OS09G33780,LOC_OS09G38370,LOC_OS09G38620,LOC_OS11G09280,LOC_OS11G24560"
